task,answer
"Вычисли $ \displaystyle \int_{0}^{2} (x - 1)^{25} \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.000]
"Вычисли $ \displaystyle \int_{1}^{\sqrt{3}} \operatorname{arctg}(1/x) \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.468]
"Какова вероятность, что взятое наудачу четырехзначное число кратно 5? Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.200]
"Векторы $ \textbf{a}, \textbf{b}, \textbf{c} $ некомпланарны. При каких значениях скаляра $ \lambda $ компланарны векторы $ \textbf{a}+2\textbf{b}+\lambda\textbf{c},~ 4\textbf{a}+5\textbf{b}+6\textbf{c},~ 7\textbf{a}+8\textbf{b}+\lambda^2\textbf{c}?$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[-4.000;3.000]
"Найти скалярное произведение векторов, если заданы их координаты в некотором базисе и матрица Грама $ \Gamma $ этого базиса: $ \begin{pmatrix} 1 & 1 & 1 \end{pmatrix}^T,~ \begin{pmatrix} 1 & 3 & 1 \end{pmatrix}^T,~ $\\ $\Gamma = \begin{pmatrix} 1 & -2 & 1 \\ -2 & 5 & -4 \\ 1 & -4 & 6 \end{pmatrix}.$",[0]
"Найти угол между векторами, заданными их координатами: $ \begin{pmatrix} 1 & 1 & 1 & 1 \end{pmatrix}, \begin{pmatrix} 0 & 2 & 0 & 2 \end{pmatrix};$ базис ортонормированный. Ответ представь в радианах и сократи (используя правила математического округления) до трех знаков после точки",[0.785]
"Игральный кубик бросается 6 раз. Найти вероятность, что выпадет хотя бы одна шестерка. Ответ сократи (используя правила математического округления) до четырех знаков после точки",[0.6651]
Вычисли $ \displaystyle \int_0^1 x(2-x^2)^{12} dx.$ Ответ представь в виде несокращаемой простой дроби,[8191/26]
"Рассмотрим область $A$, ограниченную на отрезке $x \in [0; \, \pi]$ кривыми \begin{align*} y = \sin(x), \ \ y = 0. \end{align*} Найди объем тела, полученного вращением области $A$ вокруг оси $OX$. Ответ сократи (используя правила математического округления) до трех знаков после точки",[4.935]
"Время $ Т $ обнаружения цели радиолокатором распределено по показа- тельному закону. Найти вероятность того, что цель будет обнаружена за время от 5 до 15 с после начала поиска, если среднее время обнаружения цели равно 10 с. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.383]
Найти $ \displaystyle \lim_{x \rightarrow 0} (x^7+5x^6+4x^3)/(x^7+2x^3).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[2.000]
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[3n]{n}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
Найти матрицу $ X $ из уравнения $X \begin{pmatrix} 2 & 5 \\ 1 & 3 \end{pmatrix} = \begin{pmatrix} 2 & 1 \\ 1 & 1 \end{pmatrix}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$,[5;-8;2;-3]
"Автомат изготавливает шарики. Шарик считается годным, если отклонение Х диаметра шарика от проектного размера по абсолютной величине меньше 0,7 мм. Считая, что случайная величина распределена нормально с параметром σ = 0,4 мм, определить сколько в среднем будет годных шариков среди 100 изготовленных. Ответ сократи (используя правила математического округления) до двух знаков после точки",[91.99]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\sin2x+2\operatorname{arctg}3x + 3x^2)/(\ln(1+3x+\sin^2x)+xe^x).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[2.000]
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[3]{n^3+2n^2}-n.$ Ответ представь в виде несокращаемой простой дроби,[2/3]
"Точку наудачу бросили на отрезок $[0; 2]$ . Какова вероятность ее попадания в отрезок $[0,5; 1,4]?$ Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.45]
"Найти объем тела, ограниченного следующими поверхностями: $ x+y+z^2=1,~ x =0,~y=0,~z=0.$ Ответ представь в виде несокращаемой простой дроби",[4/15]
Вычислить произведение матриц $ \begin{pmatrix} 1 & 0 \end{pmatrix} \cdot \begin{pmatrix} 1 & 1 \\ 1 &1 \end{pmatrix}. $ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$,[1;1]
"В двух коробках однотипные конденсаторы. В первой – 20 штук, из них 3 неисправных; во второй – 40 штук, из них 2 неисправных. Наугад была выбрана коробка, а затем из нее наугад был выбран конденсатор. Он оказался неисправным. Найти вероятность того, что он был взят из первой коробки. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.75]
Найти $ \displaystyle \lim_{x \rightarrow 4} (e^{4-x}-1)/(\sqrt{2x-7}-1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[-1.000]
Найти ранг матрицы $ \begin{pmatrix} 0 & 0 \\ 0 & 2 \end{pmatrix}.$,[1]
"Вычислить $ f(A), $ если $ f(t)=t^2-2t+1,~ A = \begin{pmatrix} 1 & 1 \\ 0 & 1 \end{pmatrix}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$",[0;0;0;0]
"Вычисли $ \displaystyle \int_{0}^{\pi} t \sin (3t) \, dt.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[1.047]
"Фокусник предлагает троим зрителям задумать любое число от 1 до 10. Считая, что выбор каждым из зрителей любого числа из заданных равно- возможен, найти вероятность того, что у кого-то из них задуманные числа совпадут. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.280]
"Найти угол между векторами \textbf{a} и \textbf{b}, заданными своими координатами: $\textbf{a}(2,-1),~ \textbf{b}(-4,2).$ Ответ представь в градусах и сократи (используя правила математического округления) до трех знаков после точки",[180]
"Два радиста пытались принять сигнал передатчика. Первый из них может это сделать с вероятностью 60$\%$, а второй – с вероятностью 80$\%$, независимо друг от друга. Известно, что как минимум одному из радистов удалось принять сигнал. Найти вероятность, что это удалось обоим радистам. Ответ представь в виде несокращаемой простой дроби",[12/23]
"Найти скалярное произведение векторов \textbf{a} и \textbf{b}, если: $ |\textbf{a}| =4,~ |\textbf{b}| = 2, \angle(\textbf{a},\textbf{b}) = 90^{\circ}.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.000]
"При передаче текста 10$\%$ букв искажается и принимается неверно. Какова вероятность того, что все 5 букв данного сообщения будут приняты правильно? Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.59]
"Найти угол между векторами \textbf{a} и \textbf{b}, заданными своими координатами: $\textbf{a}(1,2),~ \textbf{b}(2,4).$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.000]
Найти $ \displaystyle \lim_{x \rightarrow +\infty} (2x^2-3x-5)/(1+x+3x^2).$ Ответ представь в виде несокращаемой простой дроби,[2/3]
Найти $ \displaystyle \lim_{x \rightarrow 1} (\sqrt[5]x.-1)/(e^{x-1}-1)$. Ответ представь в виде несокращаемой простой дроби,[1/5]
Найти $ \displaystyle \lim_{x \rightarrow -2} (x^2+x-2)/(\sqrt{x+6}-2).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[-12.000]
Вычислить $ \begin{pmatrix} 2 & -1 & 0 \\ 0 & 2 & -1 \\ -1 & -1 & 1 \end{pmatrix}^{-1}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$,[1;1;1;1;2;2;2;3;4]
Найти $ \displaystyle \lim_{x \rightarrow 1} 3/(1-x^3) + 1/(x-1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
"Найти вероятность 4 точных из 7 независимых измерений, если вероятность точного измерения равна 0,3. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.097]
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =\sin x,~y=0~ (0\leq x \leq \pi) $ вокруг оси $ Oy.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[19.739]
"Найти скалярное произведение векторов, если заданы их координаты в некотором базисе и матрица Грама $ \Gamma $ этого базиса: $ \begin{pmatrix} -1 & -1 & 1 \end{pmatrix}^T,~ \begin{pmatrix} 0 & 1 & 3 \end{pmatrix}^T,~$ \\ $\Gamma = \begin{pmatrix} 1 & 2 & 3 \\ 2 & 5 & 8 \\ 3 & 8 & 14 \end{pmatrix}.$",[10]
Найти $ \displaystyle \lim_{x \rightarrow 0} (e^x-1-x)/x^2.$ Ответ представь в виде несокращаемой простой дроби,[1/2]
Найти ранг матрицы $ \begin{pmatrix} 1 & 1 \\ 1 & 1 \\ 2 & 2 \end{pmatrix}.$,[1]
"Радист пытается принять сигналы от трех передатчиков. Сигнал первого передатчика он может принять с вероятностью 50$\%$, второго – 40$\%$ и третьего – 30$\%$. Найти вероятность, что ему удастся принять сигналы ото всех передатчиков. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.06]
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^4-2x+1)/(x^8-2x+1).$ Ответ представь в виде несокращаемой простой дроби,[1/3]
Вычислить $ \begin{pmatrix} 3 & 5 \\ 5 & 9 \end{pmatrix}^{-1}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$ Ответ представь в виде несокращаемой простой дроби,[9/2;-5/2;-5/2;3/2]
Вычислить определитель матрицы $ \begin{pmatrix} 0 & 0 & 0 & -1 \\ 0 & 0 & -1 & 0 \\ 0 & 1 & 0 & 0 \\ 1 & 0 & 0 & 0 \end{pmatrix}.$,[1]
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[2n]{n^2-1}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
"В ящике 5 апельсинов и 4 яблока. Наугад выбираются 3 фрукта. Какова вероятность, что все три фрукта - апельсины? Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.12]
"Найти расстояние между точками $ A $ и $ B$, заданными своими координатами: $ A(3,-2),~ B(3,3).$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[5.000]
Вычислить определитель матрицы $ \begin{pmatrix} 0 & 0 & 1 \\ 0 & 1 & 0 \\ 1 & 0 & 0 \end{pmatrix}.$,[-1]
Найти целые корни уравнения: $ x^3 + 2x^2 +x + 2 = 0.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[-2.000]
"Вычисли $ \displaystyle \int_{-2}^2 \left(1 + 3 \sqrt{4 - x^2} \right) \, dx. $ Ответ сократи (используя правила математического округления) до целого числа",[23]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\sin3x)/x.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[3.000]
"Бросается 10 монет. Найти вероятность, что число выпавших гербов будет равно шести. Ответ представь в виде несокращаемой простой дроби",[105/512]
"Два стрелка стреляют по очереди до первого попадания по мишени. Для Ивана вероятность попадания при одном выстреле равна 0,2, для Петра – 0,3. Найти вероятность того, что Иван сделает больше выстрелов, чем Петр (первый выстрел разыгрывается по жребию). Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.23]
Найти длину дуги следующей кривой: $ y = x^{3/2}~ (0 \leq x \leq 4).$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[9.073]
"Прибор содержит генератор и осциллограф. За время работы генератор может выйти из строя с вероятностью 30$\%$, а осциллограф – с вероятностью 20$\%$. Отказы осциллографа и генератора не связаны друг с другом. Найти вероятность, что прибор будет работать исправно. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.56]
Найти $ \displaystyle \lim_{x \rightarrow 2} (x^2+4x-5)/(x^2-1).$ Ответ представь в виде несокращаемой простой дроби,[7/3]
"Мимо пункта наблюдения пробегают ежи. Наблюдатель обнаруживает пробегающего ежа с вероятностью 0,1. Сколько ежей должно пробежать, чтобы с вероятностью 0,99 наблюдатель зафиксировал бы не менее 5 ежей?",[113]
"Вычисли $ \displaystyle \int_{0}^{2} (x - 1)^{25} \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.000]
Найти $ \displaystyle \lim_{n \rightarrow \infty} (1+1/n^2)^n.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
"На карточках написаны числа 201, 202, …, 220. Наудачу извлекают 2 из них. Определить вероятность, что это будут карточки с числами 207 и 213. Ответ представь в виде несокращаемой простой дроби",[1/190]
"Длины базисных векторов $ \textbf{e}_1, ~ \textbf{e}_2, ~ \textbf{e}_3 $ равны соответственно 1,1,2; углы между ними равны $ \angle(\textbf{e}_1, \textbf{e}_2) = 90^{\circ},~ \angle(\textbf{e}_1, \textbf{e}_3) = \angle(\textbf{e}_2, \textbf{e}_3) = 60^{\circ}. $ Вычислить площадь параллелограмма, построенного на векторах $ \textbf{a}(-1,0,2) $ и $ \textbf{b}(2,-1,1).$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[9.695]
Найти $ \displaystyle \lim_{x \rightarrow -1} (2x^2-3x-5)/(x+1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[-7.000]
Найти $ \displaystyle \lim_{x \rightarrow 0} (e^{x^2+1}-e)/\ln(\cos 2x).$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[-1.359]
"Минутная стрелка часов двигается скачкообразно в конце каждой минуты. Найти вероятность, что в данное мгновение часы покажут время, отличающееся от истинного не более, чем на 20 секунд. Ответ представь в виде несокращаемой простой дроби",[1/3]
"Два стрелка независимо друг от друга стреляют по одной мишени, делая по одному выстрелу. Вероятность попадания в мишень для первого стрелка 70$\%$, а для второго 50$\%$. Найти вероятность, что оба стрелка попадут в мишень. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.35]
Найти $ \displaystyle \lim_{x \rightarrow 0} ((\sqrt{(2+x)/(2-7x)}-1)/x.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[2.000]
Найти $ \displaystyle \lim_{n \rightarrow \infty} (2n-5)^5.$ Ответ верни в формате LaTeX,[\infty]
Вычислить произведение матриц $ \begin{pmatrix} 1 & 1 \\ 0 & 1 \end{pmatrix}^{-1} \cdot \begin{pmatrix} 2& 5 \\ 1 & 3 \end{pmatrix}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$,[1;2;1;3]
Найти $ \displaystyle \lim_{x \rightarrow 0} (x\sin(2x))/\ln(\cos 5x).$ Ответ представь в виде несокращаемой простой дроби,[-4/25]
Найти $ \displaystyle \lim_{x \rightarrow +\infty} (7x^3+15x^2+9x+1)/(5x^4+6x^2-3x-4).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[0.000]
"Устройство состоит и 5 элементов, 2 из которых изношены. При включении устройства случайным образом включаются 2 элемента. Определить вероятность, что включенными окажутся неизношенные элементы. Ответ сократи (используя правила математического округления) до одного знака после точки",[0.3]
"В урне находится 15 белых, 5 красных и 10 черных шаров. Наугад извлекается 1 шар, найти вероятность того, что он будет красным? Ответ представь в виде несокращаемой простой дроби",[1/6]
"Точка $ A $ лежит на прямой $ 2x-3y+4=0. $ Расстояние от точки $ A $ до прямой $ 3y =4x $ равно 2. Найти координаты точки $ A. $ В ответе указать координаты $ (x_0 | y_0), $ полученной точки. Обрати внимание, что таких точек может быть несколько.",[(-3 | -0.667);(7 | 6)]
"В урне находится 15 белых, 5 красных и 10 черных шаров. Наугад извлекается 1 шар, найти вероятность того, что он будет белым? Ответ представь в виде несокращаемой простой дроби",[1/2]
Найти $ \displaystyle \lim_{x \rightarrow 0} \ln(\cos x)/\sin^2(2x).$ Ответ представь в виде несокращаемой простой дроби,[-1/8]
"Вычисли $ \displaystyle \int_{0}^{1} 1/((x+1)(x+2)) \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.288]
Вычислить определитель матрицы $ \begin{pmatrix} 1 + i\sqrt{2} & i-\sqrt{2} & 1 \\ 1 + i\sqrt{3} & i - \sqrt{3} & 1 \\ 1 + 2i & i - 2& 1 \end{pmatrix}$,[0]
"Набирая номер телефона, абонент забыл две последние цифры, но помнит, что одна из них – ноль, а другая – нечетная. Найти вероятность того, что он наберет правильный номер. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.100]
"За круглый стол в случайном порядке садятся 4 мальчика и 4 девочки. Какова вероятность того, что все мальчики будут сидеть рядом друг с другом? Ответ представь в виде несокращаемой простой дроби",[4/35]
Найти мнимую часть $ z = (2-i)^3(2+11i).$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[0.000]
"Четыре мальчика и четыре девочки садятся на 8 расположенных подряд стульях, причем мальчики садятся на места с четными номерами, а девочки - на места с нечетными номерами. Сколькими способами это можно сделать?",[576]
"В урне имеется 20 белых шаров и 5 черных. Наудачу последовательно, без возвращения извлекают по одному шару до появления белого. Найти вероятность, что придется производить третье извлечение. Ответ представь в виде несокращаемой простой дроби",[2/69]
"Вычисли $ \displaystyle \int_{1}^{2}x \sqrt{x - 1} \, dx. $ Ответ представь в виде несокращаемой простой дроби",[16/15]
"Найти матрицу, эрмитово сопряженную данной: $ \begin{pmatrix} i & 1 \\ -1 & i \end{pmatrix}$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$",[-i;-1;1;-i]
"Вычисли $ \displaystyle \int_{0}^{\pi} \sin x \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[2.000]
Найти $ \displaystyle \lim_{x \rightarrow \infty} (1+14x)/(2x+\sqrt[3]{x^2}).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[7.000]
"В урне имеется 3 белых и 4 черных шара. Из урны вытягиваются 3 шара. Найти вероятность, что хотя бы один из них окажется белым. Ответ представь в виде несокращаемой простой дроби",[31/35]
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^2-4)/(x^2-x-2).$ Ответ представь в виде несокращаемой простой дроби,[3/2]
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^4-x^3+x^2-3x+2)/(x^3-x^2-x+1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[2.000]
"Найти расстояние от точки $ A(1, -2) $ до прямой, заданной уравнением $ x=7.$",[6.000]
"Числа 1, 2, 3, 4, 5 написаны на пяти карточках. Наугад последовательно выбираются три карточки, и вытянутые таким образом цифры ставятся слева направо. Найти вероятность того, что полученное при этом трехзначное число будет четным. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.400]
"Десять студентов условились ехать определенным электропоездом, но не договорились о вагоне. Какова вероятность того, что ни один из них не встретится с другим, если в составе электропоезда 10 вагонов. Предполагается, что все возможные распределения студентов по вагонам равновероятны. Ответ сократи (используя правила математического округления) до пяти знаков после точки",[0.00036]
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[n]{n^3-3n+1}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
Найти $ \displaystyle \lim_{n \rightarrow \infty} (1+1/n)^{\sqrt{n}}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
"Два датчика посылают сигнал в общий канал связи, причем первый из них посылает вдвое больше сигналов, чем второй. Вероятность получить искаженный сигнал от первого датчика равна 0,06, от второго – 0,03. Какова вероятность получить неискаженный сигнал в общем канале связи? Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.95]
"На семиместную скамейку случайным образом рассаживается 7 чело- век. Какова вероятность того, что два определенных человека окажутся рядом? Ответ представь в виде несокращаемой простой дроби",[2/7]
"Найти площадь фигуры, ограниченной кривыми, заданными в прямоугольных координатах (все параметры считать положительными): $ y = x^2,~ x+y=2.$ Ответ представь в виде несокращаемой простой дроби",[9/2]
Найти $ \displaystyle \lim_{x \rightarrow 7} (2x^2-11x-21)/(x^2-9x+14).$ Ответ представь в виде несокращаемой простой дроби,[17/5]
"Новому работнику предоставляются три попытки проявить свои способности. Вероятность того, что ему удастся это с первой попытки, равна 0,2, со второй – 0,3, с третьей – 0,4. Исходы попыток представляют независимые события. Найти вероятность того, что работник оправдает оказанное ему доверие. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.664]
Найти $ \displaystyle \lim_{x \rightarrow 0} \operatorname{tg}4x/\sin x.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[4.000]
"Найти скалярное произведение векторов \textbf{a} и \textbf{b}, если: $ |\textbf{a}| =3,~ |\textbf{b}| = 1, \angle(\textbf{a},\textbf{b}) = 45^{\circ}.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[2.121]
"В урне имеется 20 белых шаров и 5 черных. Наудачу последователь- но, без возвращения извлекают по одному шару до появления белого. Найти вероятность, что придется производить третье извлечение. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.03]
Найти $ \displaystyle \lim_{x \rightarrow \infty} (x+1)^2(3-7x)^2/(2x-1)^4.$ Ответ представь в виде несокращаемой простой дроби,[49/16]
"Найти объем параллелепипеда, построенного на заданных векторах. Координатные столбцы векторов в ортонормированном базисе составляют матрицу: $ \begin{pmatrix} 1 & 1 & 1 \\ 1 & 1 & 1 \\ -1 & 1 & 1\\ 0 & -1 & 1 \end{pmatrix}.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[5.657]
Найти $ \displaystyle \lim_{n \rightarrow \infty} (n+1)/(\sqrt{n^2+2n}).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
